Date,Open,High,Low,Close,Volume,Company,Ticker
2023-08-25,191.758179299146,192.3661873291236,190.40184381239362,191.6178741455078,6598510,Wipro,WIPRO.NS
2023-08-28,192.43636215264252,192.90406504836102,190.6590825850164,190.84616088867188,3401974,Wipro,WIPRO.NS
2023-08-29,191.59447106712233,192.64680248741757,190.40183450005108,190.86953735351562,3998562,Wipro,WIPRO.NS
2023-08-30,191.75817068408986,191.85171696441864,190.19136326411257,190.4486083984375,4018182,Wipro,WIPRO.NS
2023-08-31,190.82276363276054,191.7581693368427,190.0978299213602,191.0098419189453,22061952,Wipro,WIPRO.NS
2023-09-01,190.79937226337583,195.38285421738118,190.58890028386077,194.7280731201172,8476130,Wipro,WIPRO.NS
2023-09-04,195.49979672523403,204.15229969034607,194.564390999276,203.02981567382812,27634648,Wipro,WIPRO.NS
2023-09-05,203.82491111381864,204.6200117257883,201.252545252123,201.9774932861328,17973426,Wipro,WIPRO.NS
2023-09-06,202.86611929032304,203.70797874468505,199.19464891654653,200.7848358154297,13531912,Wipro,WIPRO.NS
2023-09-07,201.0888549593391,202.84274072439968,199.59220006389054,202.4451904296875,9322650,Wipro,WIPRO.NS
2023-09-08,202.7258089585338,202.7258089585338,200.78483068458084,201.1122283935547,5748410,Wipro,WIPRO.NS
2023-09-11,202.51533160013236,204.61999439967184,201.15899620617188,203.38058471679688,8253314,Wipro,WIPRO.NS
2023-09-12,204.4329388245437,206.4908287136034,199.6623635730856,203.4507598876953,14545328,Wipro,WIPRO.NS
2023-09-13,203.4273753024799,204.83048395584154,201.81379464185028,203.7781524658203,7445670,Wipro,WIPRO.NS
2023-09-14,205.0409182063355,207.30927979077018,203.59103657595352,204.12890625,14895010,Wipro,WIPRO.NS
2023-09-15,205.69572113083112,207.54315321803563,204.9707873753332,206.2803497314453,19835876,Wipro,WIPRO.NS
2023-09-18,206.28034587093603,206.28034587093603,203.54429548979383,203.96522521972656,6025196,Wipro,WIPRO.NS
2023-09-20,203.09997594106568,204.3160062855001,200.66791525219682,201.1590118408203,9102700,Wipro,WIPRO.NS
2023-09-21,201.06544866179922,201.69685035231635,197.8616813436004,200.6211395263672,8893070,Wipro,WIPRO.NS
2023-09-22,198.4930865364227,199.59219108772962,194.84501001842347,195.733642578125,19818260,Wipro,WIPRO.NS
2023-09-25,195.7336558141955,196.31828441579106,192.69358708589854,193.67576599121094,9301132,Wipro,WIPRO.NS
2023-09-26,194.93855559792044,194.93855559792044,192.55328231715168,193.11451721191406,6480566,Wipro,WIPRO.NS
2023-09-27,192.81050889136057,194.8216255307516,191.89848258212575,194.40069580078125,7773994,Wipro,WIPRO.NS
