Date,Close,High,Low,Open,Volume,Company,Ticker
,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS,,
2023-03-06,184.15798950195312,185.51432485571692,183.38628268629077,183.5499815315907,6727722,Wipro,WIPRO.NS
2023-03-08,183.62014770507812,183.8072259964988,181.86626196083674,183.17582427394015,4908842,Wipro,WIPRO.NS
2023-03-09,182.45089721679688,184.20478302520016,182.21704577567644,183.71368643495168,4157054,Wipro,WIPRO.NS
2023-03-10,181.98316955566406,182.35732610124776,180.81391250926833,181.42192046413118,4567396,Wipro,WIPRO.NS
2023-03-13,180.2760772705078,183.62014994230722,179.48097668083406,181.9364167526891,5982520,Wipro,WIPRO.NS
2023-03-14,177.4698486328125,181.07115194271225,176.4876698126006,180.79052738362913,8094852,Wipro,WIPRO.NS
2023-03-15,175.7393341064453,179.4575772239484,175.34178385596428,179.4575772239484,7687926,Wipro,WIPRO.NS
2023-03-16,174.38302612304688,176.18368511173645,173.05007002632033,175.55228335295445,7686620,Wipro,WIPRO.NS
2023-03-17,176.0901336669922,176.95538684641534,174.8507238942202,176.41753139104173,9044282,Wipro,WIPRO.NS
2023-03-20,171.71710205078125,175.83289577923483,170.7816963315634,175.38857235334294,8184754,Wipro,WIPRO.NS
2023-03-21,171.36631774902344,173.1669765379456,170.9220086148465,172.58234798785128,7211152,Wipro,WIPRO.NS
2023-03-22,171.36631774902344,173.05005082792675,171.10908689624512,172.04449257639607,5374846,Wipro,WIPRO.NS
2023-03-23,169.0745849609375,170.6647718403782,168.53672952316236,170.6647718403782,9485192,Wipro,WIPRO.NS
2023-03-24,169.19151306152344,171.57680055088574,168.8407359093572,169.93984050744322,7906696,Wipro,WIPRO.NS
2023-03-27,168.95765686035156,170.24383971534385,167.99887171407522,169.19150828853196,6227714,Wipro,WIPRO.NS
2023-03-28,166.5957794189453,170.2672357814983,166.2216085334106,169.7761534436113,7813096,Wipro,WIPRO.NS
2023-03-29,167.9287109375,168.72381153131866,166.03452001002947,167.43762862983252,8823840,Wipro,WIPRO.NS
2023-03-31,170.8284912109375,171.06234267050073,168.98105897112387,169.93985851922932,7914212,Wipro,WIPRO.NS
2023-04-03,172.0912628173828,172.30172052797835,170.7816863233272,172.0912628173828,4053500,Wipro,WIPRO.NS
2023-04-05,172.9331512451172,173.93870964857035,171.7405145320011,172.90977180884437,6443110,Wipro,WIPRO.NS
2023-04-06,171.48326110839844,173.26054064750073,171.10910450709238,172.58236575032916,6429614,Wipro,WIPRO.NS
2023-04-10,174.59347534179688,175.10795135248588,171.92757755157743,172.11465584460282,5624940,Wipro,WIPRO.NS
2023-04-11,173.16697692871094,175.3184128525446,172.39527009547658,174.6870111623863,6784354,Wipro,WIPRO.NS
2023-04-12,174.0556182861328,174.66364057428706,172.74605597391533,173.33068455493364,5578210,Wipro,WIPRO.NS
2023-04-13,172.2549591064453,173.00328654349664,171.17924822848062,173.00328654349664,6724634,Wipro,WIPRO.NS
2023-04-17,169.00442504882812,169.28504960905408,164.63140061535125,168.3496439237396,13603290,Wipro,WIPRO.NS
2023-04-18,172.06788635253906,172.53558923160176,168.02225930327845,169.9866171046055,8024898,Wipro,WIPRO.NS
2023-04-19,168.7471923828125,172.06788566553118,168.5601140865662,172.06788566553118,7475944,Wipro,WIPRO.NS
2023-04-20,169.70599365234375,170.10354395682555,167.9053347013327,168.6068890245973,4423266,Wipro,WIPRO.NS
2023-04-21,172.13803100585938,172.4420492817828,170.08014128734465,170.29061328249801,5299988,Wipro,WIPRO.NS
2023-04-24,176.76829528808594,177.07229928151952,173.30728283004822,175.38856619145,17779044,Wipro,WIPRO.NS
2023-04-25,175.69256591796875,177.2126001213787,174.96763223791322,176.88521670300042,7528552,Wipro,WIPRO.NS
2023-04-26,175.1781005859375,176.62798230724957,174.64024515131683,176.62798230724957,7008146,Wipro,WIPRO.NS
2023-04-27,175.1079559326172,176.13690798090852,174.0088513067513,176.04336169536958,8491700,Wipro,WIPRO.NS
2023-04-28,180.06561279296875,181.4687214640828,177.727098341112,177.727098341112,27709406,Wipro,WIPRO.NS
2023-05-02,181.63241577148438,183.40968100102344,181.21148603534715,181.93641978796356,9746608,Wipro,WIPRO.NS
2023-05-03,180.11236572265625,181.63239994576995,178.68586350322406,181.63239994576995,4828488,Wipro,WIPRO.NS
2023-05-04,179.4575958251953,180.60345928575674,179.15357754303693,179.94867812641323,6253358,Wipro,WIPRO.NS
2023-05-05,177.44647216796875,179.78498659894663,177.2593938681224,179.0132796913558,7902194,Wipro,WIPRO.NS
2023-05-08,177.89080810546875,179.1302179862507,177.54003091620064,178.19481214820237,9613544,Wipro,WIPRO.NS
2023-05-09,178.8028106689453,179.34068041557904,177.7504791574335,178.8963569570102,5716698,Wipro,WIPRO.NS
2023-05-10,179.48097229003906,179.85512886828582,178.66249228611053,179.597898004886,3670402,Wipro,WIPRO.NS
2023-05-11,179.9019012451172,180.93085324066539,179.1769675254072,180.39299780928457,4049964,Wipro,WIPRO.NS
2023-05-12,179.24710083007812,180.1825064443251,178.45200034870538,179.8785024743262,4580358,Wipro,WIPRO.NS
2023-05-15,180.4163818359375,181.00101042257373,178.89634751068334,179.24712466266507,5089694,Wipro,WIPRO.NS
2023-05-16,180.97763061523438,181.84286950314498,180.76715861521575,181.23486148356042,4059352,Wipro,WIPRO.NS
2023-05-17,178.8028106689453,181.16471884756763,178.3585014835361,180.6268633740935,5376102,Wipro,WIPRO.NS
2023-05-18,178.943115234375,180.22929808603286,178.7794163804414,180.15914551239229,4237016,Wipro,WIPRO.NS
2023-05-19,180.62686157226562,181.56226735094506,179.36405806178456,179.97206610866243,7281582,Wipro,WIPRO.NS
2023-05-22,185.09341430664062,185.49096460829873,180.25268665586546,180.76716267723717,12197390,Wipro,WIPRO.NS
2023-05-23,185.9820556640625,188.06333928206072,185.23372816808788,185.678051633149,12725634,Wipro,WIPRO.NS
2023-05-24,186.94082641601562,187.29160353768205,183.97091059794184,184.50876599653213,8256974,Wipro,WIPRO.NS
2023-05-25,184.32171630859375,186.61345767097376,183.64354139225486,186.61345767097376,13605054,Wipro,WIPRO.NS
2023-05-26,187.87625122070312,188.27378724724613,184.74263623853273,184.8127888153839,7926180,Wipro,WIPRO.NS
2023-05-29,186.98757934570312,189.8873425020415,186.77712164327744,188.95193687395263,7959308,Wipro,WIPRO.NS
2023-05-30,188.25039672851562,188.88179842931743,186.82390874828332,187.08113960597825,7378972,Wipro,WIPRO.NS
2023-05-31,188.7882537841797,189.32610921057025,187.31499265166343,187.89962121799198,11783582,Wipro,WIPRO.NS
2023-06-01,190.4252166748047,190.82276696060433,188.97533495356055,189.41965838001164,7065484,Wipro,WIPRO.NS
2023-06-02,189.3962860107422,191.6646335487828,188.95196256771783,191.15017180190293,6320754,Wipro,WIPRO.NS
2023-06-05,189.0454864501953,191.64123140424797,188.8116350390858,191.2436811507303,7252860,Wipro,WIPRO.NS
2023-06-06,187.05776977539062,188.64795668904193,184.99986571555587,188.64795668904193,13707400,Wipro,WIPRO.NS
2023-06-07,188.3907012939453,188.76487213590022,187.54884187757358,188.20362300954693,8215860,Wipro,WIPRO.NS
2023-06-08,186.8706817626953,189.30274247096838,186.49652516441913,188.9987384507241,10615052,Wipro,WIPRO.NS
2023-06-09,185.81834411621094,187.24484643033955,185.23371553004972,186.82391670293526,12018232,Wipro,WIPRO.NS
2023-06-12,185.02325439453125,186.9875978439515,184.55555153421807,186.9875978439515,11973622,Wipro,WIPRO.NS
2023-06-13,184.99986267089844,186.37959183287708,184.5087803715684,186.12236096621064,13016186,Wipro,WIPRO.NS
